top_traffic_accident_offense,first_occurrence_date,incident_address,lon,lat,road_description,road_condition,light_condition,datetime,date,time,injured,tu1_vehicle_type_binned,tu2_vehicle_type_binned,tu1_driver_action_binned,tu2_driver_action_binned,tu1_human_factor_binned,tu2_human_factor_binned,vehicle_type_match,tu1_vehicle_size,tu2_vehicle_size,vehicle_size_diff,abs_vehicle_size_diff,vehicle_size_relation,smaller_vehicle_action,larger_vehicle_action,day_of_week,weekend,weekday,month,hour,is_night,morning_rush,evening_rush,same_driver_action,any_unknown_vehicle,any_aggressive_or_careless,any_failure_to_yield,any_unknown_human_factor,incident_address_clean,is_highway,index_right,speed_limit,road_name,distance_to_road_m,road_join_quality,road_match_ok,speed_limit_missing,speed_limit_category
TRAF - ACCIDENT               ,2457914.297222222,N MONACO ST / E MONTVIEW BLVD,-104.91281421,39.74743031,at intersection,dry,daylight,2017-06-09 19:07:59.999998209,2017-06-09,19:07:59,False,suv,suv,other,no_action,no_apparent,no_apparent,same,3,3,0,0,same_size,same_size,same_size,4,False,True,6,19,False,False,False,False,False,False,False,False,n monaco st / e montview blvd,False,5605,30.0,E MONTVIEW BLVD,0.10582371764429052,excellent,True,False,medium
TRAF - ACCIDENT               ,2458205.331944444,2600 BLOCK W 8TH AVE,-105.01948878,39.72897738,non intersection,dry,dark-lighted,2018-03-27 19:57:59.999980331,2018-03-27,19:57:59,False,suv,passenger_car_or_van,failure_to_obey,no_action,no_apparent,no_apparent,different,3,2,1,1,vehicle_1_larger,no_action,failure_to_obey,1,False,True,3,19,False,False,False,False,False,False,False,False,2600 block w 8th ave,False,25241,25.0,N CANOSA CT,32.085047878703094,okay,True,False,low
TRAF - ACCIDENT - HIT & RUN   ,2458900.2916666665,EB 6TH TO FEDERAL RAMP / N FEDERAL BLVD,-105.02502919,39.72514002,highway interchange,dry,dark-lighted,2020-02-20 18:59:59.999986584,2020-02-20,18:59:59,False,suv,passenger_car_or_van,aggressive_or_careless,no_action,no_apparent,no_apparent,different,3,2,1,1,vehicle_1_larger,no_action,aggressive_or_careless,3,False,True,2,18,False,False,True,False,False,True,False,False,eb 6th to federal ramp / n federal blvd,False,15424,35.0,N FEDERAL BLVD,0.09274609415773155,excellent,True,False,medium
TRAF - ACCIDENT               ,2459782.073611111,W VIRGINIA AVE / S DECATUR ST,-105.02270669,39.70751413,at intersection,dry,daylight,2022-07-21 13:45:59.999983012,2022-07-21,13:45:59,False,passenger_car_or_van,suv,failure_to_obey,no_action,environmental_visibility,no_apparent,different,2,3,-1,1,vehicle_2_larger,failure_to_obey,no_action,3,False,True,7,13,False,False,False,False,False,False,False,False,w virginia ave / s decatur st,False,22559,25.0,W VIRGINIA AVE,0.036431775304591296,excellent,True,False,low
TRAF - ACCIDENT - HIT & RUN   ,2460791.4625,19TH ST / CURTIS ST,-104.9911988,39.75000523,at intersection,wet,dark-lighted,2025-04-25 23:05:59.999991956,2025-04-25,23:05:59,False,passenger_car_or_van,passenger_car_or_van,aggressive_or_careless,no_action,aggressive_or_evading,no_apparent,same,2,2,0,0,same_size,same_size,same_size,4,False,True,4,23,True,False,False,False,False,True,False,False,19th st / curtis st,False,2705,25.0,CURTIS ST,0.11010970148340093,excellent,True,False,low
TRAF - ACCIDENT               ,2460400.20625,I25 HWYSB / N SPEER BLVD,-105.01269596,39.75536709,non-intersection,dry,daylight,2024-03-30 16:56:59.999983903,2024-03-30,16:56:59,False,passenger_car_or_van,suv,aggressive_or_careless,no_action,inexperience_or_unfamiliar,no_apparent,different,2,3,-1,1,vehicle_2_larger,aggressive_or_careless,no_action,5,True,False,3,16,False,False,False,False,False,True,False,False,i25 hwysb / n speer blvd,True,5738,55.0,INTERSTATE 25,0.029676447821187456,excellent,True,False,high
TRAF - ACCIDENT               ,2457374.7708333335,I70 HWYEB / N BRIGHTON BLVD,-104.9671683,39.77988246,non intersection,wet,dawnordusk,2015-12-18 06:30:00.000013415,2015-12-18,06:30:00,False,passenger_car_or_van,passenger_car_or_van,lane_or_position,other,no_apparent,no_apparent,same,2,2,0,0,same_size,same_size,same_size,4,False,True,12,6,False,False,False,False,False,False,False,False,i70 hwyeb / n brighton blvd,True,30387,55.0,INTERSTATE 70,0.11549034619269065,excellent,True,False,high
TRAF - ACCIDENT - HIT & RUN   ,2456346.21875,8260 E NORTHFIELD BLVD,-104.89219674,39.78286027,parking lot,dry,daylight,2013-02-22 17:15:00.000000000,2013-02-22,17:15:00,False,pickup_or_utility_van,pickup_or_utility_van,turning_or_backing,other,no_apparent,no_apparent,same,3,3,0,0,same_size,same_size,same_size,4,False,True,2,17,False,False,True,False,False,False,False,False,8260 e northfield blvd,False,24274,25.0,PRIVATE RD,23.937633319229306,good,True,False,low
TRAF - ACCIDENT               ,2460339.825,I25 HWYSB / S DOWNING ST,-104.97342736,39.68982169,ramp,dry,daylight,2024-01-30 07:48:00.000016096,2024-01-30,07:48:00,False,passenger_car_or_van,unknown,unknown,unknown,unknown,unknown,unknown,2,,,,unknown,unknown,unknown,1,False,True,1,7,False,True,False,True,True,False,False,True,i25 hwysb / s downing st,True,18702,30.0,S DOWNING ST,0.2623816737247954,excellent,True,False,medium
TRAF - ACCIDENT - HIT & RUN   ,2460672.2083333335,5125 W FLORIDA AVE,-105.05208781,39.69061982,under investigation,under investigation,underinvestigation,2024-12-27 17:00:00.000013415,2024-12-27,17:00:00,False,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,,unknown,unknown,unknown,4,False,True,12,17,False,False,True,True,True,False,False,True,5125 w florida ave,False,2297,25.0,W ARKANSAS AVE,82.09927615449593,weak,False,False,low
