top_traffic_accident_offense,lon,lat,district_id,datetime,date,time,injured,road_description_binned,light_condition_binned,road_condition_binned,tu1_vehicle_type_binned,tu2_vehicle_type_binned,tu1_human_fac_binned,tu2_human_fac_binned,tu1_driver_action_binned,tu2_driver_action_binned,tu1_vehicle_size,tu2_vehicle_size,vehicle_type_match,vehicle_size_diff,abs_vehicle_size_diff,vehicle_size_relation,smaller_vehicle_action,larger_vehicle_action,day_of_week,weekend,weekday,month,hour,is_night,morning_rush,evening_rush,incident_address_clean,is_highway,direction_conflict,index_right,speed_limit,road_name,distance_to_road_m,road_join_quality,road_match_ok,speed_limit_missing,speed_limit_category
TRAF - ACCIDENT               ,-104.95462298,39.71812796,3,2019-09-03 09:01:59.999992847,2019-09-03,09:01:59,False,unknown,unknown,unknown,other,other,unknown_or_not_observed,unknown_or_not_observed,other_or_invalid,other_or_invalid,,,same,,,unknown,unknown,unknown,1,False,True,9,9,False,False,False,n detroit st / e 1st ave,False,unknown,5327,25,E 1ST AVE,0.04213478766990889,excellent,True,False,low
TRAF - ACCIDENT               ,-105.02519098,39.78422661,1,2022-08-01 08:01:00.000009834,2022-08-01,08:01:00,False,non_intersection,daylight,dry,pickup_or_utility_van,pickup_or_utility_van,no_apparent,no_apparent,careless_or_loss_of_control,no_action,3,3,same,0,0,same_size,same_size,same_size,0,False,True,8,8,False,True,False,i70 hwyeb / n federal blvd,True,same_direction,10895,35,N FEDERAL BLVD,0.06111229250747482,excellent,True,False,medium
TRAF - ACCIDENT               ,-104.98485479,39.74167596,6,2019-01-24 08:17:59.999989274,2019-01-24,08:17:59,False,non_intersection,daylight,winter_condition,suv,other,no_apparent,no_apparent,careless_or_loss_of_control,no_action,3,,different,,,unknown,unknown,unknown,3,False,True,1,8,False,True,False,e 16th ave / n sherman st,False,opposite_direction,7020,25,N SHERMAN ST,8.720881739452215e-05,excellent,True,False,low
TRAF - ACCIDENT - HIT & RUN   ,-104.80191721,39.78122859,5,2023-07-10 07:45:59.999983012,2023-07-10,07:45:59,False,non_intersection,daylight,dry,passenger,unknown,distracted,unknown,turning,other_or_invalid,2,,unknown,,,unknown,unknown,unknown,0,False,True,7,7,False,True,False,15997 e elk pl,False,unknown,28678,25,N KITTREDGE ST,16.51050284957942,good,True,False,low
TRAF - ACCIDENT               ,-105.02483265,39.69064736,4,2020-03-15 13:38:00.000011624,2020-03-15,13:38:00,False,non_intersection,daylight,dry,suv,motorcycle_or_autocycle,no_apparent,no_apparent,lane_or_passing,no_action,3,1,different,2,2,vehicle_1_larger,no_action,lane_or_passing,6,True,False,3,13,False,False,False,1400 block s federal blvd,False,same_direction,15359,25,W ARKANSAS AVE,17.600892319217657,good,True,False,low
TRAF - ACCIDENT               ,-104.9522796,39.71685423,3,2025-05-26 12:59:59.999986584,2025-05-26,12:59:59,False,parking_lat,daylight,dry,passenger,passenger,distracted,no_apparent,backing_or_parking_movement,no_action,2,2,same,0,0,same_size,same_size,same_size,0,False,True,5,12,False,False,False,3000 e 1st ave,False,same_direction,17450,35,E 1ST AVE,130.72481292123652,bad,False,False,medium
TRAF - ACCIDENT - HIT & RUN   ,-104.8975558,39.73726977,2,2016-04-22 17:14:00.000003572,2016-04-22,17:14:00,False,non_intersection,daylight,dry,pickup_or_utility_van,pickup_or_utility_van,unknown,no_apparent,other_or_invalid,other_or_invalid,3,3,same,0,0,same_size,same_size,same_size,4,False,True,4,17,False,False,True,n spruce st / e 13th ave,False,same_direction,3018,25,N SPRUCE ST,0.001815675940728628,excellent,True,False,low
TRAF - ACCIDENT               ,-105.01249729,39.75529489,1,2026-04-05 16:10:59.999987484,2026-04-05,16:10:59,False,non_intersection,daylight,dry,passenger,passenger,no_apparent,no_apparent,careless_or_loss_of_control,careless_or_loss_of_control,2,2,same,0,0,same_size,same_size,same_size,6,True,False,4,16,False,False,False,i25 hwynb / n speer blvd,True,same_direction,5589,55,INTERSTATE 25,0.08645869616732478,excellent,True,False,high
TRAF - ACCIDENT               ,-104.99169438,39.75228868,6,2021-07-29 21:13:59.999990165,2021-07-29,21:13:59,False,intersection,dark_lighted,dry,passenger,passenger,inexperience_or_unfamiliar,no_apparent,turning,no_action,2,2,same,0,0,same_size,same_size,same_size,3,False,True,7,21,True,False,False,20th st / lawrence st,False,same_direction,24156,25,LAWRENCE ST,0.18861251101084614,excellent,True,False,low
TRAF - ACCIDENT - HIT & RUN   ,-105.03494534,39.7057293,4,2021-06-26 01:40:00.000004471,2021-06-26,01:40:00,False,non_intersection,other,wet,passenger,other,no_apparent,no_apparent,lane_or_passing,no_action,2,,different,,,unknown,unknown,unknown,5,True,False,6,1,True,False,False,600 block s lowell blvd,False,same_direction,12659,25,S LOWELL BLVD,7.541644891347966,excellent,True,False,low
