top_traffic_accident_offense,first_occurrence_date,lon,lat,tu1_travel_direction,tu2_travel_direction,road_description,road_condition,light_condition,datetime,date,time,injured,tu1_vehicle_type_binned,tu2_vehicle_type_binned,tu1_driver_action_binned,tu2_driver_action_binned,tu1_human_factor_binned,tu2_human_factor_binned,vehicle_type_match,tu1_vehicle_size,tu2_vehicle_size,vehicle_size_diff,abs_vehicle_size_diff,vehicle_size_relation,smaller_vehicle_action,larger_vehicle_action,day_of_week,weekend,weekday,month,hour,is_night,morning_rush,evening_rush,same_driver_action,any_unknown_vehicle,any_aggressive_or_careless,any_failure_to_yield,any_unknown_human_factor,incident_address_clean,is_highway,index_right,speed_limit,road_name,distance_to_road_m,road_join_quality,road_match_ok,speed_limit_missing,speed_limit_category
TRAF - ACCIDENT               ,2458305.5256944443,-104.97874361,39.74001562,west,west,at intersection,dry,dark-lighted,2018-07-06 00:36:59.999988375,2018-07-06,00:36:59,False,passenger_car_or_van,suv,no_action,aggressive_or_careless,no_apparent,inexperience_or_unfamiliar,different,2,3,-1,1,vehicle_2_larger,no_action,aggressive_or_careless,4,False,True,7,0,True,False,False,False,False,True,False,False,e colfax ave / n washington st,False,3396,30.0,N WASHINGTON ST,0.0784890707404392,excellent,True,False,medium
TRAF - ACCIDENT               ,2458482.245833333,-104.96194895,39.73674727,south,west,alley related,dry,dark-lighted,2018-12-29 17:53:59.999981222,2018-12-29,17:53:59,False,suv,suv,failure_to_yield,no_action,no_apparent,no_apparent,same,3,3,0,0,same_size,same_size,same_size,5,True,False,12,17,False,False,False,False,False,False,True,False,2100 block e 13th ave,False,29044,30.0,E 13TH AVE,7.768015727989105,excellent,True,False,medium
TRAF - ACCIDENT - HIT & RUN   ,2458900.2916666665,-105.02502919,39.72514002,west,west,highway interchange,dry,dark-lighted,2020-02-20 18:59:59.999986584,2020-02-20,18:59:59,False,suv,passenger_car_or_van,aggressive_or_careless,no_action,no_apparent,no_apparent,different,3,2,1,1,vehicle_1_larger,no_action,aggressive_or_careless,3,False,True,2,18,False,False,True,False,False,True,False,False,eb 6th to federal ramp / n federal blvd,False,15424,35.0,N FEDERAL BLVD,0.09274609415773155,excellent,True,False,medium
TRAF - ACCIDENT - HIT & RUN   ,2460174.1243055556,-104.79885062,39.77335341,east,east,parking lot,dry,daylight,2023-08-17 14:59:00.000003572,2023-08-17,14:59:00,False,suv,passenger_car_or_van,aggressive_or_careless,no_action,unknown,no_apparent,different,3,2,1,1,vehicle_1_larger,no_action,aggressive_or_careless,3,False,True,8,14,False,False,False,False,False,True,False,True,16221 e 40th ave,False,27125,25.0,E 40TH AVE,50.84667451124345,weak,False,False,low
TRAF - ACCIDENT - HIT & RUN   ,2458120.5694444445,-104.83253904,39.78226268,under investigation,under investigation,under investigation,under investigation,underinvestigation,2018-01-02 01:40:00.000004471,2018-01-02,01:40:00,False,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,,unknown,unknown,unknown,1,False,True,1,1,True,False,False,True,True,False,False,True,4800 block n crown blvd,False,12317,25.0,N BLACKHAWK WAY,21.961317918307596,good,True,False,low
TRAF - ACCIDENT               ,2460400.20625,-105.01269596,39.75536709,south,south,non-intersection,dry,daylight,2024-03-30 16:56:59.999983903,2024-03-30,16:56:59,False,passenger_car_or_van,suv,aggressive_or_careless,no_action,inexperience_or_unfamiliar,no_apparent,different,2,3,-1,1,vehicle_2_larger,aggressive_or_careless,no_action,5,True,False,3,16,False,False,False,False,False,True,False,False,i25 hwysb / n speer blvd,True,5738,55.0,INTERSTATE 25,0.029676447821187456,excellent,True,False,high
TRAF - ACCIDENT - SBI         ,2460867.24375,-104.92112163,39.71126933,south,west,,,,2025-07-10 17:50:59.999991956,2025-07-10,17:50:59,True,suv,suv,aggressive_or_careless,no_action,medical_or_ability,no_apparent,same,3,3,0,0,same_size,same_size,same_size,3,False,True,7,17,False,False,True,False,False,True,False,False,e alameda ave / s ivy st,False,18245,35.0,E ALAMEDA AVE,0.022561739579285728,excellent,True,False,medium
TRAF - ACCIDENT               ,2456477.084027778,-104.92993417,39.652974,east,east,driveway access related,dry,daylight,2013-07-03 14:01:00.000009834,2013-07-03,14:01:00,False,passenger_car_or_van,suv,aggressive_or_careless,other,distracted,no_apparent,different,2,3,-1,1,vehicle_2_larger,aggressive_or_careless,other,2,False,True,7,14,False,False,False,False,False,True,False,False,4900 block e hampden ave,False,8963,40.0,E HAMPDEN AVE,7.918403311791283,excellent,True,False,medium_high
TRAF - ACCIDENT - DUI/DUID    ,2457404.4993055556,-104.99542807,39.76079306,southwest,,intersection related,dry,dark-lighted,2016-01-16 23:59:00.000003572,2016-01-16,23:59:00,False,suv,unknown,turning_or_backing,unknown,impairment,unknown,unknown,3,,,,unknown,unknown,unknown,5,True,False,1,23,True,False,False,False,True,False,False,True,w 31st ave / n fox st,False,29964,25.0,W 31ST AVE,0.02456685530216336,excellent,True,False,low
TRAF - ACCIDENT               ,2457580.309027778,-104.9911988,39.75000523,southeast,south,at intersection,dry,daylight,2016-07-10 19:25:00.000017878,2016-07-10,19:25:00,False,suv,passenger_car_or_van,turning_or_backing,other,no_apparent,no_apparent,different,3,2,1,1,vehicle_1_larger,other,turning_or_backing,6,True,False,7,19,False,False,False,False,False,False,False,False,19th st / curtis st,False,2705,25.0,CURTIS ST,0.11010970148340093,excellent,True,False,low
TRAF - ACCIDENT               ,2460120.6458333335,-104.67381232,39.84929165,south,,parking lot,dry,dark-lighted,2023-06-25 03:30:00.000013415,2023-06-25,03:30:00,False,passenger_car_or_van,unknown,lane_or_position,unknown,no_apparent,unknown,unknown,2,,,,unknown,unknown,unknown,6,True,False,6,3,True,False,False,False,True,False,False,True,8400 pena blvd,True,24939,25.0,LEVEL 5 RD,90.8346258155564,weak,False,False,low
TRAF - ACCIDENT               ,2459926.575,-104.98919465,39.78004322,east,east,non-intersection,dry,dark-lighted,2022-12-13 01:48:00.000016096,2022-12-13,01:48:00,False,pickup_or_utility_van,pickup_or_utility_van,aggressive_or_careless,no_action,no_apparent,no_apparent,same,3,3,0,0,same_size,same_size,same_size,1,False,True,12,1,True,False,False,False,False,True,False,False,i70 hwyeb / i25 hwynb,True,29264,55.0,INTERSTATE 25,0.02830901148309369,excellent,True,False,high
